ID_Culture,IDf_Plant_tissue_sample,IDf_Culture_subcultured_from,IDf_Storage_location,IDf_Personnel,From_Label_ID,Label_ID,Genus,Species,Strain,Media_type,Plate_size,Location_plated,Sterilization_method_used,Date_cultured,Notes,z_RecordCreationTimestamp,z_RecordModificationTimestamp,z_RecordCreationAccount,z_RecordModificationAccount
,,,,EmmaG,FV0559,ZUSF00001,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,white contaminant (bacterial?),,,,
,,,,EmmaG,FV0559,ZUSF00002,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,primary fungus from 559,,,,
,,,,EmmaG,FV0457,ZUSF00003,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,white contaminant (bacterial?),,,,
,,,,EmmaG,FV0457,ZUSF00004,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,primary fungus from 457,,,,
,,,,EmmaG,FV0089,ZUSF00005,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0088,ZUSF00006,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0087,ZUSF00007,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0086,ZUSF00008,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0084,ZUSF00009,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0077,ZUSF00010,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0076,ZUSF00011,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0073,ZUSF00012,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0072,ZUSF00013,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0069,ZUSF00014,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-16,,,,,
,,,,EmmaG,FV0058,ZUSF00015,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0060,ZUSF00016,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0062,ZUSF00017,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0064,ZUSF00018,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0065,ZUSF00019,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0228,ZUSF00020,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0262,ZUSF00021,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,"multiple individuals, only took 1",,,,
,,,,EmmaG,FV0273,ZUSF00022,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0278,ZUSF00023,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0225,ZUSF00024,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0210,ZUSF00025,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,dark brown fungus,,,,
,,,,EmmaG,FV0210,ZUSF00026,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,bacteria,,,,
,,,,EmmaG,FV0038,ZUSF00027,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,orange-white part,,,,
,,,,EmmaG,FV0038,ZUSF00028,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,main fungus,,,,
,,,,EmmaG,FV0031,ZUSF00029,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0032,ZUSF00030,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0119,ZUSF00031,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0122,ZUSF00032,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0125,ZUSF00033,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0187,ZUSF00034,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0482,ZUSF00035,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0486,ZUSF00036,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0490,ZUSF00037,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
,,,,EmmaG,FV0238,ZUSF00038,,,,V8 + 3 g/L CaCO3,35 mm,BS65124,,2017-02-17,,,,,
